Genes	Similarity(max 1)
TMEM170B	0.98708975
DNAJC12	0.987096774
HIST1H2AL	0.987096774
OR6C4	0.987096774
MPI	0.987096774
C12orf10	0.987102322
C7orf50	0.987102322
ZNF621	0.987103175
SLC6A2	0.987110312
SLC44A2	0.987112364
GLUD1	0.987115022
PLEKHN1	0.987115956
SHISA2	0.987116992
ADH4	0.987124464
BSX	0.987124464
THOC6	0.987124464
CDIPT	0.987124464
SLFN12	0.987124464
KIAA1751	0.987124464
ACOT1	0.987127371
NAA30	0.987130278
AP4M1	0.987131367
KRT83	0.987131367
MRPL3	0.987132353
AHRR	0.98713583
USP25	0.987136929
GUSB	0.987138264
CYTL1	0.987141444
TAS2R7	0.987144169
MLST8	0.987145153
EFHA1	0.987145153
C14orf28	0.987145558
DUSP6	0.987156618
SMAD9	0.98716739
UGT2B4	0.987173397
PPP2R1A	0.987173817
BHMT	0.987174349
CMTM8	0.987179487
OR8B8	0.987179487
OR10G8	0.987179487
OR1L6	0.987179487
FRAT1	0.98718432
CHRNG	0.987185355
KCNA10	0.987186058
ITPRIPL1	0.987186954
ECSIT	0.987187309
DEGS2	0.987188612
HMP19	0.987190436
PTPN21	0.98719611
C11orf96	0.987201365
ACTL7B	0.987206823
HIST1H2AI	0.987206823
PPP1R15A	0.987209853
DERA	0.987210719
NCBP1	0.987215342
PELO	0.987217306
ASGR1	0.987217306
SAMM50	0.987218503
PGLYRP2	0.987220447
OR8H2	0.987220447
OR2M3	0.987220447
C2orf80	0.987223169
PCSK9	0.987224789
LRRC14	0.987225549
PTMS	0.987228608
MATN3	0.987239758
LPHN3	0.987241094
KIAA1191	0.98724309
CTNNA1	0.987246377
TNFRSF19	0.987247278
SGPP1	0.987249545
TMEM69	0.987252125
NBL1	0.987254381
C20orf27	0.987255735
UBC	0.987261146
OR4Q3	0.987261146
E2F2	0.987264151
ALKBH2	0.987266553
PSD2	0.98726694
NT5M	0.987269255
RAB21	0.987270766
ROCK2	0.987271423
C2CD2L	0.98727154
C2orf88	0.987272274
PRKAA2	0.987272727
RABEP2	0.987275121
SRPRB	0.987278335
MIP	0.98728466
SSR3	0.987291501
RASAL2	0.987292874
ZNF704	0.987298039
ZNF772	0.987298578
RASSF6	0.987299465
MRPL18	0.987301587
KPNA6	0.987302021
SIPA1L3	0.987302809
DOT1L	0.987304557
SLC39A2	0.987306065
DUSP19	0.987311178
RGS9BP	0.987314244
C2orf57	0.987315011
MCM8	0.987317692
IGFBP2	0.987323944
NLRP11	0.987326494
FAM162B	0.987329435
MARVELD3	0.987330317
SP8	0.987331081
KRI1	0.987333333
IKZF2	0.987334802
UGT3A2	0.987336429
SERINC3	0.987336915
RHOBTB3	0.987341772
OR6K3	0.987341772
OR2V2	0.987341772
MATN4	0.987341772
TRIM11	0.98735119
SDCBP	0.98735363
GPRC5A	0.987355111
EBPL	0.987355111
SNRPB2	0.987357775
COX19	0.987357775
2-Mar	0.987359551
GFRA4	0.987359551
PPM1K	0.987359886
SLC25A53	0.987364621
PINK1	0.987366003
FUT2	0.987367021
PLA2G3	0.987368421
IQSEC3	0.987369338
NCMAP	0.987370548
TMED10	0.987375577
C16orf59	0.987379808
IL4R	0.987380819
QDPR	0.987381703
OR5AP2	0.987381703
OR2K2	0.987381703
COQ7	0.987383434
CELSR1	0.987383798
C4orf27	0.987384357
ADRA1D	0.987385321
ATG10	0.987388724
ZC3H4	0.987389453
LAMTOR1	0.987390883
ZNRF4	0.987394958
TUBA1B	0.987394958
NENF	0.987394958
CAV3	0.987394958
CEACAM7	0.987394958
DFNA5	0.987406716
TMEM176A	0.987408185
TEX36	0.987408185
CPEB4	0.987410072
NEK3	0.987410827
TPM4	0.987411487
GABPB1	0.987413051
GEMIN8	0.987416107
DDX11	0.987419769
KIAA0895	0.987427466
EIF2B1	0.987428571
C1orf216	0.987429035
LRTM2	0.98742929
MYLIP	0.987430168
GIP	0.987430168
C1orf106	0.987430505
SLC35B4	0.987431265
FEV	0.987431265
SCUBE1	0.987431694
HS1BP3	0.987431923
RAB35	0.987432065
ZNF185	0.987432675
ZMAT2	0.987433862
MAPKAPK3	0.987434131
TTC39B	0.987434876
CCNG2	0.987436199
GPRC6A	0.987438939
CYP4F3	0.987442445
STK32B	0.987445072
ATP1B4	0.987445072
PPM1D	0.987447699
RMI2	0.987447699
PVRL1	0.98745098
KLB	0.987454698
USPL1	0.987455197
GRN	0.987459359
ANXA8	0.987459359
PXMP2	0.987460815
ARHGEF5	0.987463663
STARD7	0.987463838
GPX8	0.987466667
GATA3	0.987467018
INHBE	0.987467363
AARS2	0.987468672
DSG4	0.987468672
WDR65	0.98746988
ALDH4A1	0.987471892
ZNF180	0.987471892
CTSA	0.987472036
FGF14	0.987472366
SPEN	0.987473348
NDUFB6	0.987473904
ACN9	0.987473904
OVOL1	0.98747528
PRICKLE4	0.987476518
ARHGEF37	0.987476904
MRPS16	0.987478411
ACAD9	0.987479132
TMEM207	0.987482615
ICA1L	0.987482615
HNRNPC	0.987487318
DUSP2	0.987492555
MYOF	0.987496322
ANKRD23	0.9875
FIGLA	0.9875
BMP3	0.987504339
RAD52	0.987504733
PCGF2	0.987510408
AMZ1	0.987511151
FBXO40	0.987511151
SBNO1	0.987512141
SIX1	0.987515103
CREB1	0.987515267
CADPS	0.987516303
SLC5A7	0.987517067
HEATR6	0.987519103
CMSS1	0.987520799
CTNNBIP1	0.987522282
XIRP2	0.987525988
RASSF7	0.987525988
CACNG4	0.987527284
FAM228A	0.987528345
ZCCHC7	0.987529228
MMP21	0.987532468
KLHL35	0.987532468
C2orf81	0.987534626
ZNF12	0.987534924
HIF3A	0.987536352
ISG20	0.987538941
FBRS	0.98754005
PPP2R2C	0.987540628
CACTIN	0.987541528
PHOX2B	0.987545407
RNF168	0.987546125
ERLEC1	0.987548638
TNKS	0.987549284
DICER1	0.987549407
SNPH	0.987550201
LYPD8	0.987551867
MAMU-F	0.987551867
ZNF562	0.987551867
UBE2J1	0.987559555
HNF1B	0.987568556
DSTN	0.987569919
CRKL	0.987572962
EI24	0.98757764
MRPS12	0.98757764
SLC25A44	0.987581313
MAVS	0.987581496
RPF1	0.987582781
NPAS1	0.987584066
GAL3ST2	0.987586207
CCDC172	0.987589811
NUP62CL	0.987589811
OR6K2	0.987590486
ZNF778	0.987590929
ZMYND12	0.987591653
KCTD12	0.987596649
C12orf43	0.987596899
TMEM63C	0.987597787
LHPP	0.987597911
ERO1LB	0.987598647
CREG1	0.987599206
C2orf71	0.987599482
NKX1-2	0.987603306
GNAQ	0.987603306
SGCD	0.987605513
MAFG	0.987608906
LIN28A	0.987611497
GREM1	0.987612339
FASN	0.987612748
CD5L	0.987614679
SIX2	0.987616099
ASIC1	0.987616099
LMAN2L	0.987617632
INHBC	0.987617925
FKBP6	0.987620358
BCORL1	0.987620358
PF4V1	0.987620358
PACSIN1	0.987622337
ZNF592	0.987624394
RCBTB1	0.987626825
FAM96A	0.987632509
WFDC11	0.987632509
MLPH	0.987633965
ACYP2	0.987637363
KLRF2	0.987637363
APOC2	0.987637363
HIST1H1T	0.987637363
LSS	0.987639553
FGF12	0.987639688
CD302	0.987641053
SYTL1	0.987641607
C4orf47	0.987641607
KRT77	0.987643159
FAM136A	0.987647389
SHMT1	0.987649063
TTC3	0.987651077
MMP25	0.987654321
GRM4	0.987654321
SC5DL	0.987654321
OR51S1	0.987654321
EDNRA	0.987657309
USP44	0.987657949
AKT2	0.987659236
SDF4	0.987660415
TP53I11	0.987660944
TMCO2	0.987671233
SEC11C	0.987671233
CCDC154	0.987671233
MAK	0.987673344
C6orf165	0.98767686
SLC18B1	0.987679671
MED15	0.987680936
GOT1	0.987690504
DPP6	0.987692308
MRPL12	0.987692308
TEKT2	0.987696514
NIPSNAP1	0.987697715
HMHA1	0.987701041
TBXAS1	0.987702265
GNPDA1	0.987703118
MASP2	0.987704918
LIAS	0.987704918
NDUFA1	0.987704918
TNFRSF6B	0.987704918
MAPK12	0.987712112
SLC44A5	0.98771304
INPP5E	0.987716763
MGLL	0.987718164
FAM185A	0.987721692
VBP1	0.987722529
CNDP2	0.987727633
SMIM1	0.987730061
NDUFV3	0.987730061
OR6Y1	0.987730061
SEMA4C	0.987731812
PPIF	0.987732849
HEPHL1	0.987733431
KCNN2	0.987735849
SCN1B	0.98773842
TPRG1	0.987740318
F9	0.987741456
TUBG1	0.987742594
CFLAR	0.987742594
IL7	0.987747408
FSTL5	0.987747828
CHST14	0.987749546
CDC42SE1	0.9877524
CHST3	0.987753926
MEIG1	0.987755102
DIS3L2	0.987755102
EIF2S1	0.987755102
C1orf158	0.987755102
CYP8B1	0.987758548
SHC4	0.987762238
TMEM45B	0.987762238
SLC35A3	0.987763426
AIFM2	0.987766625
GIPR	0.987767584
C18orf21	0.987767584
RBBP4	0.98777403
FSTL1	0.987774382
SLC11A1	0.987776333
WISP1	0.987777275
RNF216	0.98777933
C16orf95	0.987780041
MED9	0.987782805
MAST4	0.987784409
CRIP2	0.987785016
PABPC3	0.987785016
TMEM92	0.987786825
KCNJ10	0.98779801
FNDC1	0.987804878
ISOC1	0.987804878
CAMKMT	0.987804878
NCCRP1	0.987804878
C8orf40	0.987804878
TES	0.987813885
SNRNP48	0.98781457
PFAS	0.987815126
FAF2	0.987815685
TAF8	0.987816092
GRXCR1	0.987817259
ZRANB2	0.987826087
ZMYM2	0.987829892
FAM20C	0.987831858
CCNF	0.987836871
POLR2H	0.987837838
CRYBB2	0.987837838
KHNYN	0.987839545
TANK	0.987841945
FBXO47	0.987841945
PSMB10	0.987841945
NPBWR1	0.987841945
C1orf105	0.987841945
TMEM164	0.987843219
PGBD4	0.987843314
FAM131B	0.987845567
EIF4A3	0.98784605
CYBASC3	0.987847222
C1orf100	0.987847222
OXTR	0.987848101
ANKRD11	0.987851519
ACTB	0.987854251
ICAM4	0.987854251
HIST3H2A	0.987854251
G0S2	0.987864078
LPIN3	0.987869078
ACSBG2	0.987872106
NOA1	0.987876066
RPL22L1	0.987878788
MTRNR2L7	0.987878788
ATP2B3	0.987878788
LRRC17	0.987884436
CPLX1	0.987884436
FAM151A	0.987884907
NDUFS8	0.987886945
IZUMO3	0.987886945
VDR	0.987888362
RIN3	0.987888575
CCDC91	0.987889273
COX20	0.987889273
CFB	0.987893462
EFCAB1	0.987893462
RAD18	0.987895717
ARHGAP18	0.987896254
ST8SIA2	0.987898203
MRM1	0.98789879
VMAC	0.987903226
GDPGP1	0.987906274
KIAA1704	0.987908962
YTHDC2	0.98790932
IQCF3	0.98791019
HERC3	0.98791019
TMPRSS6	0.987912447
CYB5D1	0.987916219
TARBP1	0.987916585
CLDN4	0.987918726
MAP3K2	0.987921099
PUS3	0.98792117
POU2AF1	0.987922705
ZNF420	0.987923516
GGA3	0.987923947
TRMT13	0.987925008
POLR3K	0.987927565
KPRP	0.987931034
LSG1	0.987931518
VGLL3	0.987932203
DCTN4	0.987932844
FKBP1A	0.987935657
ZNF805	0.987939352
PRTG	0.987941718
RANBP3L	0.987942122
PARP9	0.987951807
KDM4E	0.987951807
MLANA	0.987951807
DEFB113	0.987951807
SYNPO	0.987957282
GK	0.987958402
TFB1M	0.987961477
GNA13	0.987961741
KIF3C	0.987965192
BROX	0.987966909
DHTKD1	0.987967068
CMA1	0.987967914
PGR	0.987970563
EGFLAM	0.987972509
SLC7A2	0.987973213
IQSEC1	0.987975121
RPL27	0.987975952
BPHL	0.987975952
TEX26	0.987975952
C15orf38	0.987975952
RPL28	0.987975952
LRRC58	0.987976879
NR2F6	0.987978142
C14orf105	0.987980769
SPCS3	0.987983395
KRTAP13-1	0.987983979
CD83	0.987987988
DCBLD2	0.98798947
SAP18	0.987991266
MTRR	0.987996307
MRPL46	0.988
UBXN2A	0.988
TNFSF13B	0.988
DOC2A	0.988
DYDC2	0.988
LARP4B	0.988009169
MTX3	0.988009283
EBF3	0.988010145
ENO2	0.988011575
MTHFD2L	0.988013699
C19orf45	0.988015979
ZMYM6NB	0.988017429
RAB2B	0.988019468
GPR146	0.988023952
LDHD	0.988023952
CXorf27	0.988023952
CBFA2T3	0.988034808
ENTPD6	0.988035508
REEP2	0.988035892
MPND	0.988039867
POLRMT	0.988044633
MRAP2	0.988045977
DNAJC5G	0.988047809
C3orf70	0.988047809
ZKSCAN1	0.988049973
CALHM2	0.988050314
SFXN2	0.988051092
SNN	0.988054071
ABCB6	0.98805574
DHDH	0.988059701
NOSIP	0.988059701
TOX2	0.988059701
MRPL35	0.98806366
ZNF684	0.988065639
STX17	0.988065784
AMER3	0.988068935
SURF1	0.988071571
ARSK	0.988073394
PRR23B	0.988075881
MGARP	0.988077496
TIPRL	0.98807947
ZNF100	0.988080559
DENND5B	0.988081633
TMEM200C	0.98808234
DMD	0.988084532
IQCG	0.988095238
TNFSF14	0.988095238
LRRC2	0.988095238
OR9K2	0.988095238
CYP19A1	0.988099405
SWAP70	0.988100209
MMP19	0.988100485
MICALL1	0.988101534
CBX1	0.988103569
TMEM230	0.988104089
GRPR	0.988104089
POLA1	0.98810613
SRRM4	0.988109254
CAPN9	0.988110964
MRVI1	0.988115715
MAT2B	0.988116197
COQ6	0.988117573
MRPS26	0.988118812
MFSD4	0.988118812
GPER	0.988118812
LETM1	0.988119484
CAMK2B	0.988120492
KCNJ16	0.988121752
CDX1	0.988122172
SKIV2L	0.988129781
HOXB2	0.988132417
ANKRD40	0.988138465
S100P	0.988142292
ADAMTS16	0.988142292
DRAP1	0.988142292
HBM	0.988142292
AHSP	0.988142292
APOBEC3H	0.988142292
C19orf25	0.988142292
CYP4F11	0.988142292
LRRC27	0.988146552
KCTD15	0.988148538
KIAA1614	0.988155668
SRMS	0.988157895
SLC16A7	0.988158674
GPR148	0.98816101
FAM127C	0.98816101
GAL3ST1	0.988161994
PFKFB3	0.988162879
GNAI3	0.988163972
SYNGR4	0.98816568
PLSCR1	0.98816568
TNRC6B	0.988168449
ARRDC4	0.988168597
ZNF251	0.988172043
CRAT	0.98817501
ANXA6	0.988175676
SLC16A8	0.98818233
CASQ2	0.988187523
GALNT8	0.988188976
MRFAP1	0.988188976
C17orf99	0.988188976
FAM71B	0.98820059
FBXL2	0.98820059
PUS10	0.988201363
GPR180	0.988203573
POLD3	0.988203753
RGS13	0.988204456
MCM3AP	0.988204456
RFT1	0.988205018
SMO	0.988206915
PIGK	0.988207547
GDI1	0.988208617
AKT1S1	0.988212181
HMGB3	0.988212181
SIN3B	0.988216811
B3GALT1	0.988217968
SLCO2B1	0.988218662
PROSC	0.988223749
TMEM216	0.98822606
RAB6A	0.988231833
AVPR1B	0.988235294
MAP6D1	0.988235294
PDDC1	0.988235294
CCS	0.988235294
ATXN1L	0.988236782
ENAH	0.988240325
PCMTD1	0.988241058
ORAOV1	0.988246817
TCF7	0.988248256
KLHL4	0.988249319
UBLCP1	0.988250105
ROBO4	0.988250653
PNKD	0.988250653
SNCG	0.988250653
CRCP	0.98825257
TRIP12	0.98825372
SPINK13	0.988258317
PHLDB2	0.988258671
KAZALD1	0.988260406
ASPN	0.988260406
TSPAN4	0.988262911
IL1RL1	0.988264059
AADAC	0.988264361
NPY1R	0.988265493
TRPT1	0.988265971
DCC	0.988268648
VANGL2	0.988274707
MAP4K5	0.988276671
FBXW8	0.988278634
GGA2	0.988285826
RABGAP1L	0.988286264
ZBTB1	0.98828657
GALNT10	0.988287218
GALM	0.988287561
SULT2B1	0.988290398
TMCO1	0.988292011
PRKCDBP	0.988292683
GFI1B	0.988294314
ZNF691	0.988296489
CXorf36	0.988296489
CCL3L3	0.988296489
RAB11FIP2	0.988297346
TOMM34	0.988298391
BIRC2	0.988298391
COMMD5	0.988299532
MXD4	0.988300984
DIRAS2	0.988304094
FSBP	0.98830735
ANKRA2	0.988310929
SPI1	0.988312637
SLC34A1	0.988313206
DTX4	0.988314176
NIPSNAP3A	0.988314883
OR12D2	0.988315482
CATSPER1	0.988317757
CSNK1E	0.988319518
KRT5	0.988321799
LRRC15	0.988322718
NSMAF	0.98832574
SMCP	0.988326848
LGALS2	0.988326848
FGF3	0.988326848
SPACA7	0.988326848
CHST12	0.988334413
PRRG3	0.988335925
STK4	0.988337273
AARS	0.988337321
KRT80	0.988338948
FAM150B	0.988340807
CCL5	0.988341969
NPTX2	0.988344988
NPFFR1	0.988344988
GJB2	0.988344988
CXCL17	0.988344988
PGS1	0.988346282
CLNS1A	0.988346686
RPL17	0.988349515
PPP2R5B	0.988350928
MAN2A2	0.988353085
SYNDIG1L	0.988354037
CTSW	0.988354037
RND2	0.988355681
CDAN1	0.988355845
TOPBP1	0.988356808
NT5DC2	0.98835705
TSR1	0.988359788
C1orf110	0.988360815
FAM84A	0.988362825
GAPDH	0.988363636
SYT15	0.98836773
PLXNA3	0.988368625
PRPF4	0.988372093
IRX5	0.988372093
OR6K6	0.988372093
ADCY10	0.988374346
PAX7	0.988374797
EML4	0.988376317
RABL6	0.9883796
DPF2	0.988381743
ZNF395	0.9883821
CEACAM19	0.988382484
KRT13	0.988384956
RNF219	0.988388558
ZCCHC24	0.988393403
GLIS2	0.988394062
CTSC	0.98839779
TMPO	0.988398204
TREX2	0.988402062
INPP5K	0.988402544
SLC5A12	0.988403211
PLEKHD1	0.988404197
TIGD3	0.988404197
SIRPB2	0.988404453
GLUL	0.988405797
GPR142	0.988405797
MRPS27	0.988419873
REPS2	0.988422035
TCEA1	0.988423154
MROH5	0.988424969
BAZ2A	0.988428386
EIF4EBP1	0.988431877
TCF23	0.988431877
KIAA0319	0.988439306
C7orf55	0.988439306
HSPA9	0.988443236
SLC36A3	0.988444444
DENND1C	0.988446215
OSBPL5	0.988449692
CDH3	0.988451444
CDC25A	0.988451668
CA2	0.988454137
TLCD2	0.988455988
LPPR4	0.988460008
KXD1	0.988461538
GLI2	0.988461538
ZNF862	0.988461538
RPL27A	0.988461538
SLURP1	0.988461538
PRKCQ	0.988462738
ATP2C2	0.988464951
TXLNG	0.988471294
APC2	0.988471392
RUSC1	0.988472622
SPATA6L	0.988473629
TTC5	0.988474204
CD207	0.988474204
MAB21L3	0.988474576
TSGA13	0.988477865
GPI	0.988478157
ZNF823	0.988483685
WDR82	0.988484136
NARS	0.988485067
MAPRE3	0.988485385
RAX2	0.988486842
DAPK3	0.988489209
ARHGAP42	0.988491316
MYPN	0.988491927
HPCAL1	0.98849252
HSF2BP	0.988493724
PAX9	0.988497484
MAP3K15	0.988498264
BTBD19	0.988505747
C1QB	0.988505747
SPINK4	0.988505747
OR2L13	0.988505747
ANO3	0.98850769
FBXO10	0.988510826
TRIM71	0.988513082
SREK1IP1	0.988513999
GABRR1	0.988515176
MICAL3	0.988516746
CARKD	0.988519885
CDON	0.988521522
HES5	0.988527725
EPS8L2	0.988527725
SYT11	0.988528351
SMIM17	0.988528481
RCAN3	0.988529291
PCDHB12	0.988529412
BLOC1S5	0.988531262
EXO5	0.98853211
CCDC64	0.98853211
SLC38A8	0.98853211
POLQ	0.988534632
ANAPC10	0.988535032
NME1	0.988535032
PRKCB	0.988537918
ACTR1B	0.988538682
FAM3D	0.988540871
BAG2	0.988541667
SERPINB5	0.988545246
AKNAD1	0.988545644
UEVLD	0.988549618
RGS9	0.988549618
CXorf61	0.988549618
SYCP1	0.988555079
HDHD1	0.988555079
KIAA1407	0.988556567
ADD2	0.988562904
ZNF560	0.988563259
WDR76	0.988564168
DUSP9	0.988564168
ENTHD1	0.988565105
AGXT2L1	0.988565984
CDV3	0.988568162
REM2	0.988568318
CCDC59	0.988571429
ANKRD26	0.988573972
EXPH5	0.988577362
ZC2HC1B	0.98857868
NALCN	0.988580515
FAM120B	0.988582303
MTHFSD	0.988582942
ZKSCAN2	0.988583854
SYS1	0.988584475
EVI2B	0.988585608
RCVRN	0.988586479
ABCG1	0.988586774
GMEB1	0.988589685
NRG2	0.988590604
EPHB6	0.98859127
BIN3	0.988593156
STARD13	0.988595745
PLEKHM1	0.988597491
SLC47A1	0.988597843
MAB21L1	0.988603989
ASTL	0.988603989
TNIP1	0.988604972
TEKT5	0.988607595
CCDC82	0.988613257
GNMT	0.988614801
SLC17A5	0.988615385
GIGYF1	0.988618317
MOCS2	0.98861912
SLC24A4	0.988620199
LSAMP	0.988620594
YPEL2	0.988622511
STX18	0.988629185
TOX4	0.988631395
PCDHB2	0.988632197
FRMD1	0.988636364
METTL23	0.988636364
BACH1	0.988640398
STXBP5	0.988640528
TMEM68	0.988641328
ZIC1	0.988641527
POLR1E	0.988642509
MC1R	0.988650694
SELRC1	0.988653555
SORBS1	0.98865523
PEX2	0.988657845
LMO2	0.988657845
ACVR1C	0.988658495
MTUS1	0.988659106
ZDHHC3	0.988662132
SLC38A2	0.988663968
ITPA	0.988664987
PNPLA3	0.988666085
OPA1	0.988667199
AKAP5	0.988669302
NR5A2	0.988672496
MPP7	0.988673139
TRPV6	0.98867536
GFPT2	0.988677989
RAB3A	0.988679245
PVALB	0.988679245
SRRM5	0.988679245
HBZ	0.988679245
ETV4	0.988679245
ARHGEF40	0.988683312
ZNF35	0.988687783
TGFBR2	0.988689714
STX1A	0.988689915
RC3H1	0.988690259
STK40	0.988692899
RPL10L	0.988693467
SLC9A3R1	0.988694758
FAM72A	0.988695243
TMED7	0.988697372
SLC22A6	0.988697789
NLN	0.988699907
FAM179B	0.988701923
CASP8	0.988703604
SLC25A30	0.988703756
AMOTL1	0.988703788
SLA	0.988704553
RIT1	0.988705739
EHHADH	0.988713911
LTB4R	0.988714878
EPG5	0.988715278
UTP23	0.988715744
RFK	0.988717092
ANKRD27	0.988717476
UNC5C	0.988719106
PLA1A	0.988719684
EXOSC4	0.988721805
MGST2	0.988721805
CFC1	0.988721805
DSC2	0.988725658
MLXIPL	0.988727858
SLC35C1	0.988728426
PDE6D	0.988732394
SH3D19	0.988734125
NARF	0.98873592
PPYR1	0.98873592
ZAK	0.988737486
MKL2	0.988737682
CDADC1	0.988739443
C1QTNF2	0.988740617
SH2D1A	0.988741456
ARL9	0.988742964
MC3R	0.988742964
APOC3	0.988742964
ZNF282	0.988742964
MLX	0.988745981
CALCRL	0.988746959
TNF	0.988747187
TSPAN32	0.988747187
GJD4	0.98875
DEFB119	0.988752556
ZNF586	0.988753936
RHOT2	0.98875502
IRAK4	0.988756614
KRT33B	0.988757027
SLC30A2	0.98875803
RND3	0.98875969
DNAJC11	0.988760632
MRPL41	0.988764045
INSL3	0.988764045
CLDN15	0.988764045
OR4K1	0.988764045
CASC1	0.988768552
TUSC2	0.988777318
AQP8	0.988780853
ZNF41	0.988785558
BIRC3	0.988788907
RAB17	0.988789238
ERH	0.98879203
REG1B	0.98879203
PKP1	0.988801792
SP100	0.988802083
ARL6	0.98880597
MLF2	0.98880597
HOXC5	0.98880597
IL20RA	0.988815601
FUT1	0.988817891
PIP5K1A	0.988818487
MORN3	0.988819876
GNE	0.988825758
ENTPD8	0.988826816
ZNF680	0.988826816
SYNDIG1	0.988829127
SKOR1	0.988831615
SDK2	0.988832015
WHSC2	0.988832015
PTGES3	0.988833054
TSPAN10	0.988833747
KLF1	0.988833747
OR51E2	0.988836874
CD3G	0.988837209
ACPT	0.988839286
SAFB2	0.988841978
IL1RAPL2	0.988842399
CECR6	0.988844622
OMA1	0.988847584
RNF126	0.988855869
SYNM	0.988856214
ABCA7	0.988857525
ARL8A	0.988857939
C4BPA	0.98885918
PCSK2	0.988861662
FASTKD1	0.988862639
UBAC2	0.988863109
KDELC2	0.988863109
RGS1	0.988864143
MTMR9	0.988865323
KRBOX4	0.988866397
TXNDC9	0.98886706
DNAJC1	0.988867377
MINOS1	0.988868275
PRKX	0.988868275
CXCL10	0.988869863
TFG	0.988871224
TMOD3	0.988871918
MBNL3	0.988872303
PROB1	0.988875155
SUB1	0.988875878
HSCB	0.988878591
HCCS	0.988879384
UGT1A1	0.988882026
TMCC1	0.988886865
LCN15	0.988888889
FOXRED2	0.988888889
GAB2	0.988890818
CCND2	0.988894031
KCNAB2	0.988894765
COQ9	0.988895743
HOXB7	0.988897113
ZNF17	0.988898026
DCDC2	0.988898377
CYP7A1	0.988900451
JARID2	0.988902101
CRYBA4	0.988902589
CUX1	0.988902848
NOTO	0.9889043
UBAP2	0.988904627
SRXN1	0.988905325
GLRX5	0.988909427
GOLPH3L	0.98891129
PTBP3	0.988915392
TAC3	0.988916256
FTHL17	0.988916256
ZNF3	0.988916696
SLC50A1	0.988917306
SEC61A2	0.988918206
ASPRV1	0.988919668
ACOT7	0.988921713
CLDN1	0.988922457
MAX	0.988924051
SLC30A9	0.988926746
SYT2	0.988926971
PYGO2	0.988927555
PLA2G4E	0.988927555
IL5	0.988929889
CCL1	0.988929889
DEXI	0.988929889
CCND1	0.988930758
D2HGDH	0.988934993
RBBP9	0.988938053
MUL1	0.988938959
FAM220A	0.988940092
HTR7	0.988940092
ZNF311	0.988940092
IKBIP	0.98894264
TRUB2	0.98894264
SAT2	0.988943489
SCN10A	0.988945578
FZD2	0.988947062
C14orf79	0.988947368
TMBIM6	0.988948307
ZNF572	0.988948532
RXFP3	0.988950276
RUFY4	0.988950276
PEG3	0.988950276
SPZ1	0.988953488
PTDSS2	0.988957597
VPS37B	0.98895841
PDZD2	0.988959402
DKK2	0.988959426
THBS1	0.988959807
CHRNE	0.988960442
DMRTB1	0.988964792
TOR1AIP2	0.988965106
KCNV2	0.988965517
SVIL	0.988965952
SEC14L2	0.988970588
DDT	0.988970588
HBE1	0.988970588
AKR7A2	0.988970588
LEPREL2	0.988973384
ATP5S	0.988976378
AKAP11	0.98897903
GLOD4	0.988980716
HAS2	0.988982502
BRAT1	0.98898274
AKAP1	0.988983475
RTP3	0.988984088
ZNHIT3	0.988986784
NR1I2	0.988988989
LENG8	0.988989272
NDUFB7	0.988990826
C4orf17	0.988990826
NEIL2	0.989000917
SLC5A9	0.989004276
RFX2	0.989005369
ZNF16	0.989006515
CDK5R2	0.989010989
GALNT1	0.989010989
NOTCH4	0.989014252
PTGER4	0.989014252
CRTAP	0.989017694
C2orf43	0.989018774
TGFB2	0.989019311
CCDC101	0.989021043
ZBTB43	0.989022298
HNRNPK	0.989023052
DCTN3	0.98902439
BPIFA1	0.98902439
SMAD4	0.989025254
ARID5A	0.989026063
PLD3	0.989028213
C5orf34	0.989029536
SOHLH2	0.989031079
DEAF1	0.989033943
NSL1	0.989035088
PDK4	0.989039094
ESM1	0.989042401
CATSPER3	0.989043097
MAP1S	0.989044431
AEBP1	0.989045011
MED12L	0.989046142
ZNF488	0.98904802
ZFYVE9	0.989048188
CST11	0.989051095
PRND	0.989051095
SP110	0.989051095
RPL8	0.989051095
ATG3	0.989057239
RHOBTB2	0.989057751
CDCA4	0.98905804
EIF3G	0.989061076
LAMP3	0.989062962
SLC20A2	0.989063376
AVPR1A	0.989064399
NR2C2	0.989065129
PPP3CC	0.989066059
C4orf46	0.989066442
ENGASE	0.98906687
MYSM1	0.98906893
UMPS	0.989071038
PLA2G15	0.989073427
DCLK2	0.989074849
NCALD	0.989075878
TAX1BP1	0.989077321
DPH2	0.98907767
STAC3	0.98907767
MED11	0.98907767
XPNPEP2	0.98907767
EGFR	0.989078498
DLX1	0.989080218
AGTRAP	0.989080983
MROH6	0.989080983
UFL1	0.989081886
FAM196A	0.989082402
CLSPN	0.989084294
RAD50	0.989084507
TXNRD2	0.989085239
TSPAN31	0.989086732
GHITM	0.989087302
HTR3A	0.989090909
LANCL3	0.989094875
PHYHIP	0.989096573
SDR42E1	0.989097744
SPDEF	0.989102231
PON3	0.989103101
PSIP1	0.989104116
CALHM3	0.989104116
UPRT	0.98910469
MED8	0.989108237
WNT4	0.989109187
ANXA13	0.989115646
RARG	0.989116239
DCXR	0.989117291
STAR	0.989117291
TOMM20	0.989117647
TMIGD1	0.989121339
MRPS30	0.989123867
NEUROD2	0.989126622
RAB27A	0.989127058
NRN1	0.989130435
